	home_id	last_scraped	price	number_of_reviews	scores_overall	scores_accuracy	scores_cleanliness	scores_checkin	scores_communication	scores_location	scores_value	reviews_per_month
3020	7038750	2016-01-04	80	3	100.0	10.0	10.0	10.0	10.0	10.0	9.0	0.56
3021	7824929	2016-01-04	69	6	97.0	10.0	10.0	10.0	10.0	10.0	10.0	1.35
3022	2277640	2016-01-04	89	86	99.0	10.0	10.0	10.0	10.0	10.0	10.0	4.22
3023	5620306	2016-01-04	70	2	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.65
3025	4739190	2016-01-04	106	19	97.0	10.0	10.0	10.0	10.0	10.0	10.0	1.48
3026	5219336	2016-01-04	100	11	94.0	10.0	10.0	9.0	10.0	8.0	9.0	1.42
3027	2298775	2016-01-04	60	23	94.0	10.0	9.0	10.0	10.0	9.0	10.0	1.1
3028	7455706	2016-01-04	70	4	85.0	9.0	9.0	10.0	10.0	10.0	9.0	2.67
3029	1142039	2016-01-04	50	20	95.0	9.0	9.0	10.0	10.0	9.0	9.0	1.34
3030	3563218	2016-01-04	45	29	92.0	10.0	9.0	10.0	10.0	9.0	9.0	1.62
3031	7789264	2016-01-04	119	9	96.0	10.0	10.0	10.0	10.0	10.0	10.0	2.16
3032	6935953	2016-01-04	200	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.2
3033	3441402	2016-01-04	65	106	95.0	10.0	10.0	10.0	10.0	9.0	10.0	5.78
3034	921571	2016-01-04	50	7	91.0	10.0	9.0	10.0	9.0	9.0	10.0	0.23
3035	5205984	2016-01-04	60	4	100.0	10.0	9.0	10.0	10.0	10.0	10.0	0.62
3036	5352741	2016-01-04	60	2	100.0	9.0	10.0	10.0	9.0	9.0	10.0	0.3
3037	1461971	2016-01-04	129	6	93.0	9.0	10.0	10.0	10.0	8.0	10.0	0.29
3038	6690388	2016-01-04	68	16	100.0	10.0	10.0	10.0	10.0	10.0	10.0	2.53
3039	1190571	2016-01-04	60	9	89.0	9.0	8.0	9.0	10.0	9.0	9.0	0.31
3040	231097	2016-01-04	51	106	98.0	10.0	10.0	10.0	10.0	9.0	10.0	2.05
3042	3703121	2016-01-04	150	12	98.0	10.0	10.0	10.0	10.0	10.0	10.0	0.75
3043	3004007	2016-01-04	125	23	99.0	10.0	10.0	10.0	10.0	10.0	10.0	1.16
3044	3870937	2016-01-04	119	37	97.0	10.0	10.0	10.0	10.0	10.0	10.0	2.22
3045	3242247	2016-01-04	87	26	95.0	10.0	10.0	10.0	10.0	10.0	9.0	1.38
3046	6350606	2016-01-04	130	3	100.0	9.0	10.0	10.0	10.0	10.0	10.0	0.46
3049	6741526	2016-01-04	250	12	95.0	10.0	9.0	10.0	10.0	10.0	10.0	2.08
3050	6101613	2016-01-04	159	6	90.0	10.0	9.0	10.0	10.0	9.0	10.0	2.14
3051	1190224	2016-01-04	60	14	94.0	10.0	9.0	10.0	10.0	9.0	9.0	0.5
3052	8704931	2016-01-04	91	5	100.0	10.0	10.0	10.0	10.0	10.0	10.0	2.34
3054	9432497	2016-01-04	43	5	88.0	10.0	10.0	10.0	10.0	9.0	9.0	3.49
3055	7931111	2016-01-04	68	7	100.0	10.0	10.0	10.0	10.0	10.0	10.0	2.21
3056	5031357	2016-01-04	70	2	80.0	10.0	10.0	10.0	10.0	10.0	9.0	0.25
3057	6603376	2016-01-04	252	32	99.0	10.0	10.0	10.0	10.0	10.0	10.0	4.4
3058	3861673	2016-01-04	71	175	99.0	10.0	10.0	10.0	10.0	10.0	10.0	10.61
3059	461234	2016-01-04	99	146	96.0	10.0	10.0	10.0	10.0	10.0	10.0	3.36
3060	3510818	2016-01-04	140	19	98.0	10.0	10.0	10.0	10.0	10.0	10.0	1.1
3061	6245498	2016-01-04	105	24	92.0	10.0	10.0	10.0	10.0	10.0	10.0	3.12
3062	6557018	2016-01-04	115	13	92.0	10.0	10.0	10.0	9.0	9.0	9.0	2.69
3064	7873789	2016-01-04	125	22	98.0	10.0	10.0	10.0	10.0	10.0	10.0	5.55
3065	6691873	2016-01-04	90	39	95.0	9.0	10.0	10.0	10.0	10.0	10.0	5.49
3066	7638689	2016-01-04	150	4	95.0	9.0	10.0	10.0	10.0	10.0	10.0	0.9
3067	5968862	2016-01-04	200	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.16
3068	260613	2016-01-04	135	18	98.0	10.0	10.0	10.0	10.0	10.0	9.0	0.38
3069	4718820	2016-01-04	35	7	97.0	10.0	10.0	10.0	10.0	10.0	10.0	0.57
3071	1023693	2016-01-04	115	119	98.0	10.0	10.0	10.0	10.0	10.0	10.0	4.04
3072	4438871	2016-01-04	86	13	94.0	10.0	10.0	10.0	10.0	9.0	9.0	1.4
3073	4438160	2016-01-04	150	5	96.0	9.0	9.0	10.0	10.0	10.0	10.0	0.4
3074	7870538	2016-01-04	225	5	100.0	10.0	10.0	10.0	10.0	10.0	10.0	1.34
3075	6153532	2016-01-04	118	30	99.0	10.0	10.0	10.0	10.0	10.0	10.0	4.37
3076	488268	2016-01-04	58	85	94.0	9.0	9.0	10.0	10.0	10.0	10.0	1.93
3077	6375415	2016-01-04	375	18	97.0	10.0	10.0	10.0	10.0	10.0	9.0	2.54
3078	4429898	2016-01-04	89	24	94.0	9.0	10.0	10.0	10.0	9.0	9.0	1.79
3079	5991139	2016-01-04	80	8	95.0	9.0	10.0	10.0	10.0	9.0	10.0	1.33
3080	6130287	2016-01-04	65	9	100.0	10.0	10.0	10.0	10.0	9.0	9.0	1.32
3081	1623894	2016-01-04	115	82	99.0	10.0	10.0	10.0	10.0	10.0	10.0	3.78
3082	6453383	2016-01-04	69	38	96.0	10.0	10.0	10.0	10.0	10.0	10.0	5.11
3083	25002	2016-01-04	75	404	98.0	10.0	10.0	10.0	10.0	10.0	10.0	5.82
3084	5183164	2016-01-04	47	34	96.0	10.0	10.0	10.0	10.0	10.0	9.0	3.09
3086	2352218	2016-01-04	80	47	96.0	10.0	10.0	10.0	10.0	9.0	10.0	2.22
3087	5695344	2016-01-04	60	4	90.0	10.0	10.0	10.0	10.0	9.0	10.0	0.47
3088	5403847	2016-01-04	55	26	98.0	10.0	10.0	10.0	10.0	9.0	10.0	3.31
3089	1187735	2016-01-04	250	30	97.0	10.0	10.0	10.0	10.0	9.0	9.0	0.98
3090	8976178	2016-01-04	89	5	96.0	10.0	9.0	10.0	10.0	10.0	10.0	3.06
3091	8717068	2016-01-04	68	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.7
3093	3308825	2016-01-04	130	20	99.0	10.0	10.0	10.0	10.0	10.0	9.0	1.07
3094	8921924	2016-01-04	35	2	100.0	10.0	10.0	10.0	10.0	8.0	10.0	2.0
3095	2260626	2016-01-04	55	86	88.0	9.0	9.0	9.0	10.0	9.0	9.0	3.71
3096	7635496	2016-01-04	65	4	95.0	10.0	10.0	10.0	10.0	10.0	10.0	0.76
3097	8086294	2016-01-04	42	3	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.72
3098	1097766	2016-01-04	55	10	96.0	10.0	10.0	10.0	10.0	9.0	10.0	1.69
3100	670056	2016-01-04	56	15	85.0	9.0	9.0	10.0	10.0	9.0	9.0	0.38
3101	7069080	2016-01-04	50	4	95.0	10.0	10.0	10.0	10.0	10.0	9.0	0.67
3102	4701146	2016-01-04	93	19	92.0	9.0	10.0	10.0	10.0	9.0	10.0	1.47
3103	670021	2016-01-04	54	11	76.0	8.0	7.0	9.0	9.0	8.0	7.0	0.27
3104	6813623	2016-01-04	240	10	100.0	10.0	10.0	10.0	10.0	9.0	10.0	1.53
3105	3208667	2016-01-04	62	42	96.0	10.0	10.0	10.0	10.0	10.0	10.0	2.47
3107	4951079	2016-01-04	72	1	80.0	10.0	6.0	8.0	6.0	6.0	8.0	0.16
3108	9233533	2016-01-04	95	3	100.0	10.0	10.0	10.0	10.0	9.0	10.0	1.8
3109	6782993	2016-01-04	53	24	93.0	10.0	10.0	10.0	10.0	9.0	9.0	3.6
3110	8340819	2016-01-04	65	2	100.0	10.0	9.0	9.0	9.0	9.0	10.0	0.53
3111	4024844	2016-01-04	80	41	97.0	10.0	10.0	10.0	10.0	10.0	10.0	3.88
3112	5397134	2016-01-04	105	23	100.0	10.0	10.0	10.0	10.0	10.0	10.0	2.4
3113	8061699	2016-01-04	40	1	80.0	10.0	10.0	10.0	10.0	6.0	10.0	0.26
3114	2934389	2016-01-04	93	11	95.0	10.0	10.0	10.0	10.0	9.0	9.0	0.6
3116	6652199	2016-01-04	100	6	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.88
3118	4291	2016-01-04	82	35	92.0	10.0	9.0	10.0	9.0	9.0	9.0	1.14
3119	7018009	2016-01-04	209	7	94.0	9.0	9.0	10.0	10.0	9.0	9.0	1.29
3120	7661577	2016-01-04	109	18	100.0	10.0	10.0	10.0	10.0	10.0	9.0	4.0
3121	7418814	2016-01-04	110	12	98.0	10.0	10.0	10.0	10.0	9.0	9.0	2.21
3122	4825073	2016-01-04	1000	1	100.0	10.0	10.0	10.0	10.0	8.0	10.0	0.08
3124	8923774	2016-01-04	80	4	100.0	10.0	10.0	10.0	10.0	10.0	10.0	2.55
3126	8953255	2016-01-04	125	1	100.0	10.0	10.0	10.0	10.0	10.0	8.0	0.59
3128	8559462	2016-01-04	86	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.64
3130	1145941	2016-01-04	149	103	93.0	9.0	9.0	10.0	10.0	9.0	9.0	3.34
3131	7802149	2016-01-04	84	1	80.0	10.0	10.0	6.0	8.0	10.0	10.0	0.38
3132	3561108	2016-01-04	139	23	91.0	10.0	9.0	10.0	10.0	10.0	9.0	1.35
3133	5310503	2016-01-04	33	18	99.0	10.0	10.0	10.0	10.0	10.0	10.0	1.71
3134	4820795	2016-01-04	129	16	99.0	10.0	10.0	10.0	10.0	10.0	9.0	1.45
3135	4664312	2016-01-04	59	3	87.0	10.0	8.0	9.0	10.0	9.0	9.0	0.25
3136	2804399	2016-01-04	90	28	90.0	9.0	9.0	10.0	9.0	9.0	9.0	1.41
3139	7201336	2016-01-04	39	14	87.0	9.0	9.0	9.0	9.0	9.0	9.0	2.36
3140	4180905	2016-01-04	125	29	97.0	10.0	10.0	10.0	10.0	10.0	10.0	1.88
3141	6603061	2016-01-04	65	29	92.0	9.0	10.0	9.0	10.0	10.0	9.0	4.94
3143	5163047	2016-01-04	75	5	92.0	10.0	9.0	10.0	10.0	10.0	10.0	0.67
3144	8578023	2016-01-04	100	9	93.0	10.0	10.0	10.0	10.0	10.0	10.0	3.18
3146	9061048	2016-01-04	103	1	80.0	10.0	10.0	10.0	10.0	10.0	10.0	0.53
3147	7603457	2016-01-04	105	10	98.0	10.0	10.0	10.0	10.0	10.0	9.0	2.11
3148	5639238	2016-01-04	110	2	40.0	9.0	3.0	9.0	9.0	10.0	5.0	0.23
3149	5362889	2016-01-04	175	54	96.0	10.0	9.0	10.0	10.0	10.0	10.0	5.59
3150	7203408	2016-01-04	120	15	96.0	10.0	10.0	10.0	10.0	10.0	10.0	2.66
3154	544433	2016-01-04	95	219	97.0	10.0	10.0	10.0	10.0	10.0	10.0	5.1
3156	6276224	2016-01-04	135	3	100.0	10.0	10.0	10.0	10.0	10.0	10.0	0.76
3157	5252515	2016-01-04	200	7	94.0	9.0	7.0	10.0	10.0	10.0	10.0	0.91
3158	1622794	2016-01-04	145	100	98.0	10.0	10.0	10.0	10.0	10.0	9.0	3.69
3160	8423118	2016-01-04	96	4	100.0	9.0	10.0	10.0	10.0	10.0	10.0	1.3
3161	6248083	2016-01-04	498	12	98.0	10.0	10.0	10.0	10.0	10.0	10.0	2.08
3162	7932696	2016-01-04	110	17	94.0	9.0	9.0	10.0	10.0	10.0	9.0	3.75
3163	3215404	2016-01-04	119	23	91.0	10.0	9.0	10.0	10.0	9.0	9.0	1.21
3164	9522082	2016-01-04	119	1	100.0	10.0	10.0	10.0	10.0	10.0	10.0	1.0
3165	3040278	2016-01-04	217	156	97.0	10.0	9.0	10.0	10.0	10.0	10.0	7.96
3167	1071843	2016-01-04	95	135	96.0	10.0	10.0	10.0	10.0	10.0	10.0	4.15
3168	4973204	2016-01-04	165	27	99.0	10.0	10.0	10.0	10.0	10.0	10.0	2.69
